doi	status	file	note
10.1002/ece3.7059	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.7059 bytes=6318; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1002/ece3.8359	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/10.1002/ece3.8359 bytes=6244; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1080/01621459.2016.1261710	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://www.tandfonline.com/doi/full/10.1080/01621459.2016.1261710 bytes=6313; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1080/01621459.2024.2359131	not_pdf		response_not_pdf http=200 ct=text/html; charset=utf-8 url=https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/pdf/nihms-2003251.pdf bytes=20411; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><meta http-equiv="origin-trial" content="A7vZI3v+Gz7JfuRolKNM4Aff6zaGuT7X0mf3wtoZTnKv6497cVMnhy03KDqX7kBz/q/iidW7srW31oQbBt4VhgoAAACUeyJvcmlnaW4iOiJodHRwczovL3d3dy5nb29nbGUuY29tOjQ0MyIsImZlYXR1cmUiOiJEaXNhYmxlVGhpcmRQYXJ0eVN0b3JhZ2VQYXJ0aXRpb25pbmczI
10.1098/rsos.190335	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.190335 bytes=6244; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1098/rspb.2018.0807	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2018.0807 bytes=6275; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1111/1365-2745.12782	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.12782 bytes=6369; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1111/ddi.13046	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13046 bytes=6296; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1111/ddi.13297	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13297 bytes=6296; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1111/ele.14478	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ele.14478 bytes=6296; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1111/eva.12161	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/eva.12161 bytes=6296; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1111/jbi.14708	not_pdf		response_not_pdf http=403 ct=text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbi.14708 bytes=6318; html=<!DOCTYPE html><html lang="en-US" dir="ltr"><head><title>Just a moment...</title><meta http-equiv="Content-Type" content="text/html; charset=UTF-8"><meta http-equiv="X-UA-Compatible" content="IE=Edge"><meta name="robots" content="noindex,nofollow"><meta name="viewport" content="width=device-width,in
10.1186/s42408-024-00264-0	downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\10_1186_s42408_024_00264_0.pdf	download_event bytes=1458006
