"plot_id","Xutm","Yutm","LANDScapes","HAND","LOG","GEOL","VEGET","ALT","SLO","LANDScapes_status","GEOL_status","VEGET_status"
"H1",246427.7852,517268.5391,NA,8.47405772021489,7.37838371299671,NA,NA,92.1694946289062,5.78710384353686,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H10",245729.7031,518927.6641,NA,27.2573183530274,8.07121853996986,NA,NA,112.433418273926,8.53720331098644,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H100",147088.2821,580638.2412,NA,26.3784408569336,8.98732181285012,NA,NA,77.2175140380859,10.3848921671868,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1000",268033.7793,358453.7924,NA,182.960011630859,8.07121853996986,NA,NA,420.399383544922,25.7685928032681,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1001",267869.6175,358339.8836,NA,222.673935310547,7.37838371299671,NA,NA,465.044982910156,10.2647816555379,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1002",267697.62,358239.3945,NA,171.497837287109,7.37838371299671,NA,NA,464.147796630859,8.93540915381717,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1003",267516.2859,358158.9663,NA,200.627578735352,7.37838371299671,NA,NA,443.110412597656,5.08186551376579,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1004",267359.6868,358045.9239,NA,144.037998419922,7.37838371299671,NA,NA,444.000885009766,10.7579684910535,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1005",267354.7488,357865.3031,NA,117.977302992187,8.47657950853094,NA,NA,417.940246582031,22.3123771266689,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1006",267424.8713,357685.2472,NA,48.7226948378906,9.16962253869762,NA,NA,348.685638427734,17.4739816200242,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1007",267472.2821,357504.2463,NA,16.0693664550781,9.32375833901174,NA,NA,345.600646972656,12.4185369209359,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1008",267570.0078,357331.2891,NA,35.0939331054688,8.07121853996986,NA,NA,365.146240234375,19.1760772389331,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1009",269261.1045,359298.5618,NA,16.7257115351563,8.07121853996986,NA,NA,242.402221679688,11.1422074107204,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H101",147223.8446,580497.7429,NA,29.6006546020508,7.37838371299671,NA,NA,80.4397277832031,7.0079339304867,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1010",269374.4181,359139.4603,NA,83.0618119648438,9.32375833901174,NA,NA,308.738037109375,19.6583805709718,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1012",269653.8633,358891.6732,NA,267.821029663086,8.47657950853094,NA,NA,459.478057861328,37.3201894953671,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1013",269623.7873,358891.6372,NA,267.364883422852,8.07121853996986,NA,NA,459.021911621094,34.1053748121446,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
"H1014",269423.7456,358808.3291,NA,150.299045783203,7.37838371299671,NA,NA,384.539184570312,30.5048362827361,"pending_manual_contact","pending_manual_contact","pending_source_not_found"
