"variant","distance_lower_fraction","distance_upper_fraction","n_pairs","draws","expected_semivariance","observed_semivariance","mcse_semivariance","gap_over_mcse","required_draws_for_5pct_relative_mcse","dataset","generator","pi_s","range_fraction"
"innovation",0,0.05,48,3000,2.41905494306262,2.42174405681946,0.0108326771826197,0.248240920642832,25,"georgia","polynomial",0.1,0.1
"innovation",0.05,0.15,639,3000,2.61041792717754,2.609396349951,0.00725441283566472,-0.140821490268398,10,"georgia","polynomial",0.1,0.1
"innovation",0.15,0.35,2062,3000,2.66473803313647,2.66886502005557,0.00719071563432577,0.573932711147669,9,"georgia","polynomial",0.1,0.1
"innovation",0.35,1.000001,2816,3000,2.66618372944855,2.6697326526334,0.00714786183340401,0.496501368880191,9,"georgia","polynomial",0.1,0.1
"trend",0,0.05,48,3000,0.647646150108087,0.648608862921933,0.00281340341559189,0.342187973651632,23,"georgia","polynomial",0.1,0.1
"trend",0.05,0.15,639,3000,0.839009134223003,0.838487295965314,0.00239444051304555,-0.217937449206298,10,"georgia","polynomial",0.1,0.1
"trend",0.15,0.35,2062,3000,0.89332924018194,0.894868377064123,0.00261678439429101,0.588178714891879,11,"georgia","polynomial",0.1,0.1
"trend",0.35,1.000001,2816,3000,0.894774936494015,0.896605939142908,0.00258940207551777,0.707114073246988,11,"georgia","polynomial",0.1,0.1
"innovation",0,0.05,48,3000,2.11166155354938,2.10857231022892,0.00938078199343653,-0.329316183087558,24,"georgia","polynomial",0.1,0.3
"innovation",0.05,0.15,639,3000,2.38687091524462,2.38631968403717,0.00646131021868038,-0.0853126051509453,9,"georgia","polynomial",0.1,0.3
"innovation",0.15,0.35,2062,3000,2.65180036730653,2.64844760498126,0.00771641738541823,-0.434497274811265,11,"georgia","polynomial",0.1,0.3
"innovation",0.35,1.000001,2816,3000,2.73162367627494,2.73536537222522,0.00844163558488307,0.443243008141414,12,"georgia","polynomial",0.1,0.3
"trend",0,0.05,48,3000,0.340252760594846,0.338487838127095,0.00138568335792829,-1.2736838164744,20,"georgia","polynomial",0.1,0.3
"trend",0.05,0.15,639,3000,0.615462122290084,0.615281579895849,0.00193723065321985,-0.0931961271285008,12,"georgia","polynomial",0.1,0.3
"trend",0.15,0.35,2062,3000,0.880391574351993,0.877880346055387,0.00387176911543532,-0.648599702548115,24,"georgia","polynomial",0.1,0.3
"trend",0.35,1.000001,2816,3000,0.960214883320407,0.960144609889383,0.00493718272848683,-0.0142335082352245,32,"georgia","polynomial",0.1,0.3
"innovation",0,0.05,48,3000,2.12148213510115,2.11279717042446,0.00914912709893363,-0.949267026544477,23,"georgia","polynomial",0.2,0.1
"innovation",0.05,0.15,639,3000,2.55204884935971,2.55460923272874,0.00725338113334442,0.352991704415216,10,"georgia","polynomial",0.2,0.1
"innovation",0.15,0.35,2062,3000,2.67426908776732,2.6827191028088,0.00771048480055335,1.0959122882755,10,"georgia","polynomial",0.2,0.1
"innovation",0.35,1.000001,2816,3000,2.67752190446948,2.6784335704977,0.00755129647518859,0.120729735776505,10,"georgia","polynomial",0.2,0.1
