10:04:59 === goa graine 22 : N=500, sites=500, folds(lignes)=101/107/91/103/98 | estimateurs: baseline_mean,ols,gam_spatial,random_forest,xgboost,sar_lag,sem_error,inla_spde,inla_spde_group,inla_spde_st
10:04:59 baseline_mean | fold 1 ok (0.0s)
10:04:59 baseline_mean | fold 2 ok (0.0s)
10:04:59 baseline_mean | fold 3 ok (0.0s)
10:04:59 baseline_mean | fold 4 ok (0.0s)
10:05:00 baseline_mean | fold 5 ok (0.0s)
10:05:00 ols | fold 1 ok (0.0s)
10:05:00 ols | fold 2 ok (0.1s)
10:05:00 ols | fold 3 ok (0.0s)
10:05:00 ols | fold 4 ok (0.0s)
10:05:00 ols | fold 5 ok (0.0s)
10:05:00 gam_spatial | fold 1 ok (0.1s)
10:05:00 gam_spatial | fold 2 ok (0.0s)
10:05:00 gam_spatial | fold 3 ok (0.0s)
10:05:00 gam_spatial | fold 4 ok (0.0s)
10:05:00 gam_spatial | fold 5 ok (0.1s)
10:05:00 random_forest | fold 1 ok (0.2s)
10:05:01 random_forest | fold 2 ok (0.1s)
10:05:01 random_forest | fold 3 ok (0.1s)
10:05:01 random_forest | fold 4 ok (0.0s)
10:05:01 random_forest | fold 5 ok (0.0s)
10:05:01 xgboost | fold 1 ok (0.1s)
10:05:01 xgboost | fold 2 ok (0.1s)
10:05:01 xgboost | fold 3 ok (0.1s)
10:05:01 xgboost | fold 4 ok (0.1s)
10:05:01 xgboost | fold 5 ok (0.1s)
10:05:03 sar_lag | fold 1 ok (1.8s)
10:05:04 sar_lag | fold 2 ok (1.2s)
10:05:06 sar_lag | fold 3 ok (1.2s)
10:05:07 sar_lag | fold 4 ok (1.0s)
10:05:08 sar_lag | fold 5 ok (1.0s)
10:05:09 sem_error | fold 1 ok (1.0s)
10:05:10 sem_error | fold 2 ok (1.0s)
10:05:11 sem_error | fold 3 ok (1.0s)
10:05:12 sem_error | fold 4 ok (1.0s)
10:05:13 sem_error | fold 5 ok (1.0s)
10:05:32 inla_spde | fold 1 ok (18.6s)
10:05:45 inla_spde | fold 2 ok (12.9s)
10:06:01 inla_spde | fold 3 ok (16.0s)
10:06:15 inla_spde | fold 4 ok (14.2s)
10:06:28 inla_spde | fold 5 ok (13.1s)
10:06:45 inla_spde_group | fold 1 ok (16.7s)
10:07:05 inla_spde_group | fold 2 ok (20.1s)
10:07:27 inla_spde_group | fold 3 ok (22.3s)
10:07:48 inla_spde_group | fold 4 ok (20.3s)
10:08:13 inla_spde_group | fold 5 ok (25.0s)
10:17:56 inla_spde_st | fold 1 ok (583.0s)
10:26:47 inla_spde_st | fold 2 ok (531.1s)
10:36:19 inla_spde_st | fold 3 ok (572.2s)
10:52:56 inla_spde_st | fold 4 ok (996.0s)
11:02:26 inla_spde_st | fold 5 ok (570.6s)
11:02:27 === goa graine 22 TERMINE
11:02:30 === mistletoe graine 22 : N=978, sites=130, folds(lignes)=199/227/139/184/229 | estimateurs: baseline_mean,ols,gam_spatial,xgboost,inla_spde,inla_spde_group,inla_spde_st,inla_spde_st_group
11:02:30 baseline_mean | fold 1 ok (0.0s)
11:02:30 baseline_mean | fold 2 ok (0.0s)
11:02:30 baseline_mean | fold 3 ok (0.0s)
11:02:31 baseline_mean | fold 4 ok (0.0s)
11:02:31 baseline_mean | fold 5 ok (0.0s)
11:02:31 ols | fold 1 ok (0.0s)
11:02:31 ols | fold 2 ok (0.1s)
11:02:31 ols | fold 3 ok (0.0s)
11:02:31 ols | fold 4 ok (0.0s)
11:02:31 ols | fold 5 ok (0.0s)
11:02:32 gam_spatial | fold 1 ok (1.4s)
11:02:33 gam_spatial | fold 2 ok (0.4s)
11:02:33 gam_spatial | fold 3 ok (0.5s)
11:02:34 gam_spatial | fold 4 ok (0.4s)
11:02:35 gam_spatial | fold 5 ok (0.6s)
11:02:35 xgboost | fold 1 ok (0.2s)
11:02:35 xgboost | fold 2 ok (0.2s)
11:02:36 xgboost | fold 3 ok (0.2s)
11:02:36 xgboost | fold 4 ok (0.2s)
11:02:37 xgboost | fold 5 ok (0.2s)
11:03:07 inla_spde | fold 1 ok (30.0s)
11:03:37 inla_spde | fold 2 ok (30.5s)
11:04:05 inla_spde | fold 3 ok (27.7s)
11:04:36 inla_spde | fold 4 ok (30.7s)
11:05:05 inla_spde | fold 5 ok (29.1s)
11:05:24 inla_spde_group | fold 1 ok (18.3s)
11:05:43 inla_spde_group | fold 2 ok (19.0s)
11:06:02 inla_spde_group | fold 3 ok (18.8s)
11:06:21 inla_spde_group | fold 4 ok (19.0s)
11:06:41 inla_spde_group | fold 5 ok (19.3s)
11:08:07 inla_spde_st | fold 1 ok (85.8s)
11:09:26 inla_spde_st | fold 2 ok (78.8s)
11:10:53 inla_spde_st | fold 3 ok (87.0s)
11:12:01 inla_spde_st | fold 4 ok (68.1s)
11:13:23 inla_spde_st | fold 5 ok (81.7s)
11:15:55 inla_spde_st_group | fold 1 ok (151.6s)
11:17:26 inla_spde_st_group | fold 2 ok (91.1s)
11:18:59 inla_spde_st_group | fold 3 ok (92.3s)
11:20:48 inla_spde_st_group | fold 4 ok (108.7s)
11:22:27 inla_spde_st_group | fold 5 ok (99.0s)
11:22:27 === mistletoe graine 22 TERMINE
11:22:29 === crane graine 22 : N=650, sites=130, folds(lignes)=120/160/130/120/120 | estimateurs: baseline_mean,ols,gam_spatial,random_forest,xgboost,sar_probit,sem_probit,inla_spde,inla_spde_st
11:22:29 baseline_mean | fold 1 ok (0.0s)
11:22:29 baseline_mean | fold 2 ok (0.0s)
11:22:29 baseline_mean | fold 3 ok (0.0s)
11:22:29 baseline_mean | fold 4 ok (0.0s)
11:22:29 baseline_mean | fold 5 ok (0.0s)
11:22:29 ols | fold 1 ok (0.0s)
11:22:29 ols | fold 2 ok (0.0s)
11:22:29 ols | fold 3 ok (0.0s)
11:22:29 ols | fold 4 ok (0.0s)
11:22:29 ols | fold 5 ok (0.0s)
11:22:29 gam_spatial | fold 1 ok (0.1s)
11:22:29 gam_spatial | fold 2 ok (0.1s)
11:22:30 gam_spatial | fold 3 ok (0.1s)
11:22:30 gam_spatial | fold 4 ok (0.1s)
11:22:30 gam_spatial | fold 5 ok (0.1s)
11:22:30 random_forest | fold 1 ok (0.0s)
11:22:30 random_forest | fold 2 ok (0.0s)
11:22:30 random_forest | fold 3 ok (0.0s)
11:22:30 random_forest | fold 4 ok (0.0s)
11:22:30 random_forest | fold 5 ok (0.0s)
11:22:30 xgboost | fold 1 ok (0.0s)
11:22:30 xgboost | fold 2 ok (0.1s)
11:22:31 xgboost | fold 3 ok (0.1s)
11:22:31 xgboost | fold 4 ok (0.1s)
11:22:31 xgboost | fold 5 ok (0.0s)
11:22:31 sar_probit | fold 1 ok (0.4s)
11:22:32 sar_probit | fold 2 ok (0.5s)
11:22:32 sar_probit | fold 3 ok (0.4s)
11:22:33 sar_probit | fold 4 ok (0.3s)
11:22:33 sar_probit | fold 5 ok (0.4s)
11:22:33 sem_probit | fold 1 ok (0.2s)
11:22:34 sem_probit | fold 2 ok (0.2s)
11:22:34 sem_probit | fold 3 ok (0.4s)
11:22:35 sem_probit | fold 4 ok (0.2s)
11:22:35 sem_probit | fold 5 ok (0.3s)
11:22:59 inla_spde | fold 1 ok (23.5s)
11:23:24 inla_spde | fold 2 ok (25.4s)
11:23:44 inla_spde | fold 3 ok (20.3s)
11:24:05 inla_spde | fold 4 ok (21.0s)
11:24:29 inla_spde | fold 5 ok (23.0s)
11:25:41 inla_spde_st | fold 1 ok (72.1s)
11:26:47 inla_spde_st | fold 2 ok (66.6s)
11:28:00 inla_spde_st | fold 3 ok (72.7s)
11:29:25 inla_spde_st | fold 4 ok (84.2s)
11:31:18 inla_spde_st | fold 5 ok (113.5s)
11:31:19 === crane graine 22 TERMINE
11:31:23 === flapper graine 22 : N=707, sites=700, folds(lignes)=136/132/141/123/175 | estimateurs: baseline_mean,ols,gam_spatial,random_forest,xgboost,sar_probit,sem_probit,inla_spde,inla_spde_group
11:31:23 baseline_mean | fold 1 ok (0.0s)
11:31:23 baseline_mean | fold 2 ok (0.0s)
11:31:23 baseline_mean | fold 3 ok (0.0s)
11:31:23 baseline_mean | fold 4 ok (0.0s)
11:31:23 baseline_mean | fold 5 ok (0.0s)
11:31:23 ols | fold 1 ok (0.0s)
11:31:24 ols | fold 2 ok (0.2s)
11:31:24 ols | fold 3 ok (0.0s)
11:31:24 ols | fold 4 ok (0.0s)
11:31:24 ols | fold 5 ok (0.0s)
11:31:24 gam_spatial | fold 1 ok (0.3s)
11:31:24 gam_spatial | fold 2 ok (0.3s)
11:31:25 gam_spatial | fold 3 ok (0.3s)
11:31:25 gam_spatial | fold 4 ok (0.5s)
11:31:26 gam_spatial | fold 5 ok (0.3s)
11:31:26 random_forest | fold 1 ok (0.1s)
11:31:26 random_forest | fold 2 ok (0.1s)
11:31:27 random_forest | fold 3 ok (0.1s)
11:31:27 random_forest | fold 4 ok (0.2s)
11:31:27 random_forest | fold 5 ok (0.1s)
11:31:27 xgboost | fold 1 ok (0.2s)
11:31:28 xgboost | fold 2 ok (0.2s)
11:31:28 xgboost | fold 3 ok (0.2s)
11:31:28 xgboost | fold 4 ok (0.3s)
11:31:29 xgboost | fold 5 ok (0.2s)
11:31:31 sar_probit | fold 1 ok (2.4s)
11:31:33 sar_probit | fold 2 ok (1.4s)
11:31:34 sar_probit | fold 3 ok (0.7s)
